id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
35691275,Uptown Getaway - Charming & Cozy Spot in Oaklawn!,443730443,Dave,,District 14,32.8197,-96.80603,Entire home/apt,107,1,91,2022-03-26,2.68,3,37,32,
35704792,"Like Home! Fully Furnished, Professional Condo!",175494578,Sarah,,District 12,33.00041,-96.80377,Entire home/apt,84,2,88,2022-03-14,2.57,2,195,33,
35709390,2 for 1 Full House,15693949,Arturo,,District 7,32.76861,-96.76247,Entire home/apt,128,1,3,2021-10-10,0.10,3,134,1,
35713116,"Private, Stylish Historic Home Near Bishop Arts",26913292,Samantha,,District 1,32.7448,-96.84551,Entire home/apt,200,3,5,2021-08-12,0.24,5,0,1,
35716968,Corporate Suites | Knox Henderson|Parking | parking  washer & dryer,188733636,Elegant,,District 14,32.82611,-96.78601,Entire home/apt,103,1,8,2021-04-04,0.26,52,314,0,
35734080,Backyard garden cottage in Oak Cliff,69110608,Amy,,District 3,32.70032,-96.86503,Entire home/apt,95,2,52,2022-03-20,1.52,1,297,25,
35769017,ULTIMATE TEXAS EXPERIENCE WITH HEATED POOL&SPA,24407447,Blake,,District 7,32.80444,-96.70852,Entire home/apt,643,2,77,2022-04-04,2.40,8,220,22,
35797919,Lux & Comfort...Walk to Everything!,44636167,Audra,,District 14,32.78538,-96.79516,Entire home/apt,109,3,16,2020-11-22,0.47,1,0,0,
35832133,Big Comfy Condo in Downtown Dallas (RS914),156543716,Corporate Short Stays Dallas,,District 2,32.7776,-96.7954,Entire home/apt,226,1,3,2019-12-28,0.09,22,343,0,
35832752,Best Central Dallas Location,31348177,Grant,,District 14,32.81826,-96.79788,Entire home/apt,196,2,30,2022-01-01,0.89,1,159,9,
35833754,Big Comfy Apt Downtown Dallas/Free Valet (RS218),156543716,Corporate Short Stays Dallas,,District 2,32.7776,-96.7954,Entire home/apt,180,30,11,2020-03-12,0.32,22,339,0,
35833922,1 Bedroom|King & Sofa Bed|Valet Parking|Walk Score 95/100|Downtown Dallas,305350123,Corporate,,District 2,32.77878,-96.79403,Entire home/apt,202,1,46,2022-03-26,1.36,23,343,32,
35833954,Big Comfy Condo Downtown Dallas/Free Valet (RS620),156543716,Corporate Short Stays Dallas,,District 2,32.7776,-96.7954,Entire home/apt,228,1,6,2020-02-19,0.18,22,365,0,
35835548,Dallas R&R Hostel// Private Room 6,384442953,Kristie,,District 1,32.75215,-96.85827,Private room,32,1,99,2022-03-29,2.92,14,352,33,
35837041,★Smart TVs all rooms★Private Yard★Key-less entry,395823,Keith,,District 2,32.8243,-96.82152,Entire home/apt,194,2,107,2022-03-25,3.38,8,301,58,
35846389,Spacious  2BD Corporate Apt Pool/Garage Park,188733636,Elegant,,District 14,32.82629,-96.7932,Entire home/apt,148,1,16,2021-05-09,0.47,52,344,1,
